Doc_ID,Reviews for Oscar Wining Movie Joker,Sentiment
1,person saw hype claims masterpiece overreacting overblown excitement another joker based film thought looked solid best even bit pretentious trailer say incredibly wrong massive achievement cinema thats extremely rare day age cgi nonsense reboots somewhat reboot sorts standalone origin tale impeccable start finish echoes resemblance best joker origin comics past joaquin bleeds sweats cries every drop magnificently dedicated performance heath ledger would proud undoubtedly greatest acting performance since heaths joker directing writing slickly brilliant bleak settings tones palpable throughout film place blown away every audience member awestruck witnessed film could still transport characters world existence believe hype going revered transcending masterpiece cinema,positive
2,every movie comes truly makes impact joaquins performance scenography brilliance grotesque haunting cringy hard watch times mesmerizing wont blink eye watching tragic seriously funny moments emotional rollercoaster sometimes multiple emotions poppingup timethis far typical actionriddled predictable superhero movie proper psychological thrillerdrama single best character development ever seen,positive
3,movie felt alone isolated truly relate understand motive feel sorry character lot people see movie think encourages violence truly movie encourage every one us become better person treat everyone respect make feel like belong world instead making feel isolated,positive
4,truly masterpiece best hollywood film one best films decade truly best film bring comic book chillingly realistically real ife remarkable direction cinematography music acting people surprised find disturbing violent necessity message society reflects underappreciatedunrecognizedbullied people proving something way shows class difference corruption rich talented rule others around exaggerated thats makes different believable could multiple jokers living society could shake around much bitter way film shows making people uncomforting people consider wake call message first film perfect film,positive
5,time movies anticipated like end falling short way short joker first time happy hype please ignore complaints pernicious violence embarrassing say least havent seen comic movie real ever deserved better class criminal phillips phoenix delivered dark joker dark fall love villain bad guys always romantic anyway,positive
6,joaquin phoenix gives tour de force performance fearless stunning emotional depth physicality impossible talk without referencing heath ledgers oscarwinning performance dark knight widely considered definitive liveaction portrayal joker lets talk fact everyone going stunned phoenix accomplishes many thought impossible portrayal matches potentially exceeds dark knights clown prince crime,positive
7,let start saying joaquin phoneix doesnt get oscar movie oscars cancelled phoneix amazing mightve heard every review ever todd phillips best story lines takes visuals breathtaking score omg score every time score came felt uncomfortable like something horrible happen great inspirations taxi driver king comedy add much movie got honest scenes violent disturbing honestly expected wayyyy violent controversy going overall movie great come oscar season needs nominated best picture screenplay cinematography actor score director,positive
8,get people hate political message people think need get empathy arthurs madness come point never enjoy masterpiece joaquin phoenix todd phillips overdid movie actingmusic cinematography amazing please enjoy movie without overthinking,positive
9,seen joker yesterday venice early illfated screening trouble audio lead nearhour delay definitely worth itjoker deserved presented venice film festival event regards cinema form art film far blockbuster mere entertainer movie films genre areit focuses psyche main character slowly crumbles pressure society thus joaquin phoenix wonderful performance earning almost surely nomination oscars least take joker differs ledgers id say equally good main difference might ledgers joker rational acts insane phoenixs insane rootdespite movie superhero villain joker much superior movies genre id exclude dark knight trilogy joker easily good nolans movies least close smallscaled film distinct style cinematography appreciated set cinephile references however feel forced overly opressive notable similarities scorseses taxi driver king comedy also chaplins modern times somewhat referencedi eager see noncomedic efforts todd phillips movie far probably best worst contested far dolor gloria upon time hollywood convincing,positive
10,sad joaquin missed oscar gladiator compelling villain quite confident win joker damn movie keeps u toes time unpredictable storyline really deep interesting plot forget mention acting damn niro joaquin teach u really star acting enjoy movie get wine hand close curtains turn ur cellphones put disturb sign ur door best dark thriller suspense movie get experience,positive
11,spoiler content,neutral
12,movie answers questionwhat joker real life character great deep moving story life journey man whos suffering psychological issues neglect bullying rudeness human push man complete madnessalthough accurate comic book adaptation tv series movie yet fresh unique take character clown prince crime realistic approach believe joaquin phoenix amazing performance joker managed bring real life lookalike early version joker although comic book accurate feel decent foundation joker true heart original version lovable villainthe movie great piece filmmaking aspects plot interesting believable many relate acting impressively splendid directing outstanding main take movie lack positive lead character know live tough world full negativity positive examples shed light one two characters movie wouldve nice positive thoughtthe joker movie misunderstood many thinking itll inspire crime violence believe contrary many go hard life feel sympathy joker character others even relate misery may justify actions believe movie meant wake call many lot people daily suffer bullying racism hate crimes neglect sometimes go worse take deeper look actions know aside money authority equally humans treat one another way expect treated,positive
13,movie causes audience consider many topics morality particularly poor choices made joker joker relatable movie antagonists usually think gives realistic view bad people usually bad ways society often judges important know sympathize joker towards beginning movie needs identified threat begins making certain bad choices movie suitable adults willing pick apart think critically isnt light amusement substance makes goodif arent able ponder underlying themes handed thoughts isnt best movie,positive
14,acting cinematography sound design script phenomenal movie triumph joaquin pheonix deserves oscar win tbh,positive
15,movie affects way makes physically painful experience good way,neutral
16,stop watching movies joaquin phoenix awarded oscar tremendous acting,positive
17,quit relying critic reviews years ago noticed movie critics ratings low viewer ratings high said point critic movie oh wrong went saw tonite mom went skeptical w low expectations knew expect typical super hero movie got masterpiece went expecting sheer boredom instead edge seat whole time action edge seat fear may say next edge seat see character evolve know villain batman beyond genius joaquin phoenix true master perfecting art consuming character may place dont care movie story acting directing effects everyone brought game jp definitely deserves nod win role comparison jack nicholson heath ledger actor took character different levels different story points different points time comparison would feasible fair actors embraced made come life genius way,positive
18,need say everything movie masterful every single way joker isnt awesome comic book movie awesome movie period offers easy answers unsettling questions raises cruel society decline joaquin phoenixs fully committed performance todd phillips masterful albeit loose reinvention dc source material make joker film leave comic book fans nonfans alike disturbed moved right ways,positive
19,spoiler content,neutral
20,spoiler content,neutral
21,joker directed todd philips stars joaquin phoenix arthur fleck man disregarded thrown societywe live era formulaic comic book movies common joker proves make comic book movie without villain also proves comic book movies used psychological studies reflecting society views treats mental health issues certain individualsif describe joaquin phoenix joker one word would mesmerising take iconic comic book character filled emotional depth point almost painful watch flawlessly realistic making one best performances decadethe cinematography also something note full gorgeous shots beautiful colour palette making shot composition structure heavily differ comic book filmsthe score minimalistic every time comes feels unsettling haunting adds suspense storymy biggest issue joker inspired scorseses king comedy taxi driver making majority film predictable however making predictable didnt take away much quality made unsettling see degradation jokers mind happens making film depressingi wouldnt really call joker comic book movie yes based comic book depicts arguably iconic comic book character time stands alone among dozens predecessors psychological drama reflects society issues rather fantasy worldoverall joker brilliant take character however faint heart narrowminded prejudiced peoplefinal grade,neutral
22,thought film good dont get hype personally acting amazing film good overall think masterpiece film year bit overused throughout reviews way dislike film thought really good overhyped feel though lot reviews purely based fact already amazing reviews people want carry praise joker film released random guy situation dont think reviews would high maybe thats point,negative
23,really understand tens sure good movie good acting nice shooting plot intriguing times really long somewhat boring needed doublecheck genre see drama crime drama thriller said would put maybe drama rest thrilleri miss dialogue depth substance plot really somewhat crazy person becoming bit crazier sure undertone society system mean character people bringing creating evil beast later wants destroy everything absolutely think intriguing story plot dialogue enough give tenworthy watching yes amazing,negative
24,went film expecting alltime classic based reviews read ended watching decent film overall phoenix outstandingso definitely part feel like youve seen trailers youve seen movie best way describe film feels like hour version trailer hours relatively common runtime felt lot longerwhich isnt good id say much rental theater movie kinda justeh,negative
25,joaquin phoenix gives heath ledger run money true story popcorn fluff comic book flick take kids see movie shut ballots oscar joaquin taking one home hands one best origin stories ever put downside movie stand alone film sequels ties dc universe todd philips take joker one pure brilliance joaquin phoenix joker deserved didnt steal jack heath yet got taste,positive
26,music intense realism performance story perfect combination everything never felt character like joker could real saw phoenix shows us joker society shows us power obtained philips hand perfect choice music camera angles lighting every important factor overall expect story perfect many shocking turns happened really represent todays society first screening would applauded min,positive
27,heard everyone saying film year reviews flooding quite hyped excited movie walked cinema felt hollow emptybefore continue writing let say film year real masterpiece cinematography excellent acting incredible thats sidecharacters bland overly dramatic plot heavily relies plottwists film harsh actually falls flat faceare good points though phoenix phenomenal score great cinematography also incredible plot great even plot holes scenes left emptyfilm year nope,neutral
28,spoiler content,neutral
29,spoiler content,neutral
30,perfect portrait decline insanity joaquin phoenix portrays flawlessly performance lifetime choreographed impeccably todd phillips nothing short breathtaking cinematography backdrop ideology original film complex character complimented superb soundtrack acting hauntingly beautiful film definate edit bring part plssssss want,positive
31,joaquin portrayal sociopathic mentally unstable mans transformation iconic joker non grippingly accurate realistic touching rendition dark disturbing character piece led oscar worthy performance joaquin phoenix really feel bad guy makes heartbreaking inevitably becomes clown prince crime know love although weve never seen like see suffer throughout movie point almost rooting himk become mass murdering psyco clown least make feel better happens wish could avoided es messed feel care time hes joker wish couldve helped theres lot great nods greater batman universe yet movie self contained character piece mark great movie acting great plot similar taxi driver brilliant quality movie shows dont need cgi super powers great villain superhero movie joke everyone gets movie rise joker,positive
